Estado;Observaciones;Equipo 1;Resultado;Equipo 2;Árbitros;Fecha;Hora;Lugar;Jornada;Grupo;Estado de la competición;Competición;Deporte
;;"F.S. Esclop Infantil ""B""";-;E.P. Badalona Centre Infantil;;09/06/2018;11:00;Col·legi Públic Gaudí -  Carrer d'Ordesa -  Sabadell -  Espanya;Jornada 9;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;A.E. Sallent Infantil;-;"Escola Pia Santa Anna Mataró Infantil ""C""";;09/06/2018;11:00;;Jornada 9;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;"Escola de Futsal Grèvol Infantil ""A""";-;"Escola Pia Santa Anna Mataró Infantil ""B""";;09/06/2018;12:00;;Jornada 9;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;Futsal Dante;-;A.E. Les Botigues De Sitges;MATILDE GOMEZ VIÑARAS;09/06/2018;13:00;Carrer Sant Joan de la Salle número 20 -  Poliesportiu La Salle Bonanova.;Cuartos de final;COPA CATALUNYA;;COPA CATALUNYA;Fútbol sala
;;Betis Catalunya F.S. B;-;Montsant Sala5 B;;09/06/2018;13:30;;Jornada 30;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;A.E. I.E.S. Manuel Blancafort;-;F.s. Borges Femení;;09/06/2018;15:00;;Jornada 7;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;C.e. Gadex Femení;-;*RETIRAT COPA*E.F.S. Alta Segarra Femení;;09/06/2018;15:00;;Jornada 7;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;"Padre Damián Sagrados Corazones ""C""";-;Futbol Sala Corbera;;09/06/2018;15:00;;Jornada 30;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.F.S. Ponts;-;F.C. Ivars De Noguera;;09/06/2018;15:30;PONTS PAVELLÓ MUNICIPAL;Jornada 5;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;*RETIRAT COPA*Futbol Sala Femení Vila-Sana;-;*RETIRAT COPA*Futbol Sala Femeni Lloret de Mar;;09/06/2018;16:00;;Jornada 7;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;Athletic Aguilar A;-;*BAIXA COPA*Futbol Sala Altorricon;;09/06/2018;16:30;;Jornada 9;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;F.S. Esclop;-;Atletic Arrahona B;;09/06/2018;17:00;;Jornada 30;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.e. Gadex B;-;A.E. Tiana B;;09/06/2018;17:00;;Jornada 30;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;*RETIRAT COPA*F.S. Llinars Senior Femeni;-;*RETIRAT COPA*FS Vinaixa Femeni;;09/06/2018;19:00;;Jornada 7;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;C.e. Gadex;-;F.S. Racing Llavaneres;MATILDE GOMEZ VIÑARAS;09/06/2018;19:30;Poliesportiu Municipal Olimpia Carrer de Mauritània -  17 -  08206 Sabadell -  España;Jornada 24;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Sagrerenc C.E.Infantil;-;A.E. Moià Infantil;;09/06/2018;;;Jornada 9;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;Atlètic Sant Boi;-;Futbol Sala Colomense;;10/06/2018;09:00;Escola Pública Josep Maria Ciurana -  Carrer Manuel de Falla -  Sant Boi de Llobregat -  Espanya;Jornada 30;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;"Orange Futsal Castellbisbal ""B""";-;Futbolmania F.S.;;10/06/2018;10:00;PavellÓ Poliesportiu Municipal El Papiol;Jornada 30;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;"Pony´s Futbol Sala ""A""";-;Celler de l' Arnau - Jovents BALAGUER;;10/06/2018;12:00;;Jornada 7;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;"F.S. Union Llagostense Mecman Infantil ""A""""";-;Teià F5 Infantil;;10/06/2018;12:00;Complex esportiu municipal El Turó -  Carrer de Joaquim Blume -  La Llagosta -  Espanya;Jornada 9;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;C.E.S. Sabadell;-;"Olímpic Argentona ""B""";;10/06/2018;12:00;Complex Esportiu Municipal Sant Oleguer -  Camí Can Quadres -  Sabadell -  Espanya;Jornada 30;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;*RETIRAT COPA*C.E. Orange Papiol Femení;-;Alcarràs - Fraga Futsal;;10/06/2018;16:00;;Jornada 7;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;C.F.S. Clot A;-;"Montsant Sala 5 ""A""";MATILDE GOMEZ VIÑARAS;10/06/2018;18:00;CEM Bac de Roda -  Rambla de Guipúscoa -  Barcelona -  Espanya;Cuartos de final;COPA CATALUNYA;;COPA CATALUNYA;Fútbol sala
;;F.S. Viladecavalls;-;F.S Union La Salut Badalona B;;10/06/2018;19:30;;Jornada 30;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;;-;Montsant Sala5 B;;16/06/2018;;;Semifinal;"COPA FEDERACIÓ BARCELONA GRUP ""B""";;"COPA FEDERACIÓ BARCELONA GRUP ""B""";Futbolín
;;Atletic Arrahona B;-;;;16/06/2018;;;Semifinal;"COPA FEDERACIÓ BARCELONA GRUP ""B""";;"COPA FEDERACIÓ BARCELONA GRUP ""B""";Futbolín
;;C.f.s. Alcalà Prat - Bar La Terraza;-;;;16/06/2018;;;Semifinal;COPA CATALUNYA;;COPA CATALUNYA;Fútbol sala
;;;-;Sagrerenc C.E. A;;16/06/2018;;;Semifinal;COPA CATALUNYA;;COPA CATALUNYA;Fútbol sala
;;F.S. La Salut;-;"Futsal Dante ""B""";;16/06/2018;;;Semifinal;"COPA FEDERACIÓ BARCELONA GRUP ""A""";;"COPA FEDERACIÓ BARCELONA GRUP ""A""";Fútbol sala
;;Teià Futbol Cinc B;-;Betània Patmos Barcelona B;;16/06/2018;;;Semifinal;"COPA FEDERACIÓ BARCELONA GRUP ""A""";;"COPA FEDERACIÓ BARCELONA GRUP ""A""";Fútbol sala
;;;-;;;16/06/2018;;;Final;"COPA FEDERACIÓ BARCELONA GRUP ""B""";;"COPA FEDERACIÓ BARCELONA GRUP ""B""";Futbolín
;;Betània Patmos Barcelona Juvenil C;-;Betània Patmos Barcelona Juvenil Nacional;;16/06/2018;;;Semifinal;COPA JUVENIL;;COPA JUVENIL;Fútbol sala
;;Sagrerenc C.E. Juvenil Nacional A;-;Banús Futsal Juvenil Nacional;;16/06/2018;;;Semifinal;COPA JUVENIL;;COPA JUVENIL;Fútbol sala
;;Sagrerenc C.E. Cadet A;-;Grup de Joves Can Tusell Cadet;;16/06/2018;;;Semifinal;COPA CADET;;COPA CADET;Fútbol sala
;;"Futbol Sala Corbera Cadet ""A""";-;A.E. Sallent Cadet;;16/06/2018;;;Semifinal;COPA CADET;;COPA CADET;Fútbol sala
;;;-;;;16/06/2018;;;Final;COPA CATALUNYA;;COPA CATALUNYA;Fútbol sala
;;;-;;;16/06/2018;;;Final;"COPA FEDERACIÓ BARCELONA GRUP ""A""";;"COPA FEDERACIÓ BARCELONA GRUP ""A""";Fútbol sala
;;;-;;;16/06/2018;;;Final;COPA JUVENIL;;COPA JUVENIL;Fútbol sala
;;;-;;;16/06/2018;;;Final;COPA CADET;;COPA CADET;Fútbol sala
;;C.F.S. Alcalà Prat - Bar La Terraza Infantil;-;"Escola Pia Santa Anna Mataró Infantil ""B""";ADRIA VENTEO GONZÁLEZ;06/05/2018;10:00;CEM Julio Méndez -  Carrer del Riu Guadalquivir -  El Prat de Llobregat -  Espanya;Jornada 4;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;Olímpic Argentona Infantil;2 - 7;"Escola de Futsal Grèvol Infantil ""A""";MARI CARMEN DELGADO MORALES;06/05/2018;10:00;Pavelló Municipal d' Argentona;Jornada 4;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;Betània Patmos Barcelona Juvenil C;6 - 4;Grup de Joves Can Tusell Juvenil Nacional;ISMAEL BENKHAJOU BAKKALI;06/05/2018;11:00;Escola Betània Patmos -  Carrer de Montevideo -  Barcelona -  Espanya;Cuartos de final;COPA JUVENIL;;COPA JUVENIL;Fútbol sala
;;"Olimpic Argentona Benjamí ""A""";0 - 6;F.S. Llinars Atletic Benjamí;MARI CARMEN DELGADO MORALES;06/05/2018;11:00;Pavelló Municipal d' Argentona;Jornada 5;COPA BENJAMÍ;;COPA BENJAMÍ;Fútbol sala
;;F.S. Hostalriquenc Juvenil;2 - 2;C.E. Gadex Juvenil;GABINO FERNÁNDEZ SEGURA;06/05/2018;11:00;Pavelló Municipal d' Hostalric;Jornada 11;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;"Olímpic Argentona ""B""";2 - 3;Atletic Arrahona B;MARI CARMEN DELGADO MORALES;06/05/2018;12:00;Pavelló Municipal d' Argentona;Cuartos de final;"COPA FEDERACIÓ BARCELONA GRUP ""B""";;"COPA FEDERACIÓ BARCELONA GRUP ""B""";Futbolín
;;Teià Futbol Cinc B;2 - 2;"Padre Damián Sagrados Corazones ""B""";ALBERT GONZALEZ GARCIA -  JOAN GIBERT REY;06/05/2018;12:00;Poliesportiu Municipal El Cim -  Carrer Josep Puigoriol s/n -  Teià;Cuartos de final;"COPA FEDERACIÓ BARCELONA GRUP ""A""";;"COPA FEDERACIÓ BARCELONA GRUP ""A""";Fútbol sala
;;A.E. Les Botigues De Sitges;4 - 2;C.E. Orange Papiol;DAVID GUILLÉN CUELLAR -  JOSE PEDRO CASES FERNANDEZ -  MARIANO BENITO HERRERO;06/05/2018;12:00;Poliesportiu De Pins Vens;Jornada 11;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;F.S. Viladecavalls;3 - 2;Futbolmania F.S.;DAVID VALIENTE MARTIN;06/05/2018;12:00;poliesportiu municipal de viladecavalls;Jornada 17;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;"Athletic Arrahona - Can Jonqueres ""A""";1 - 5;C.F.S. Inter Raudovan Hospitalet;JOEL JIMENEZ RODRIGUEZ -  RAUL GONZALEZ MONJO;06/05/2018;12:15;Pavelló esports c/ sol i padris -  59 08203 Sabadell;Jornada 21;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;F.S. Llinars Infantil;9 - 1;"Escola Pia Santa Anna Mataró Infantil ""C""";HERMAN TORTA RECHE;06/05/2018;17:00;Pavelló annex de Llinars del Vallès - Av. Pau Casals -  22-24 -  08450 Llinars del Vallès -  Barcelona;Jornada 4;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;F.C. Ivars De Noguera;5 - 0;"Club Futsal Alcarràs ""B""";ELI GASCÓN PEREIRO -  GERMAN MARTIN FERNANDEZ;06/05/2018;17:00;Zona Esportiva Municipal Carrer Professor Gimeno -  1 -  25122 Ivars de Noguera -  Lleida;Jornada 15;1a Territorial D;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.F.S. La Garriga;2 - 3;C.E. Maristes De Rubí;ANTONIO RUIZ MANCHON -  DAVID VALIENTE MARTIN;09/05/2018;21:00;Poliesportiu Can Noguera;Jornada 20;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Grup de Joves Can Tusell Cadet;3 - 3;"Futbol Sala Corbera Cadet ""A""";DOMENEC FOLGUERA AMPURDANES;11/05/2018;19:30;Pista Pol. De Can Tusell (gespa Artificial);Jornada 17;"Cadet ""A""";;08. Cadet;Fútbol sala
;;Betània Patmos Barcelona Juvenil C;5 - 1;Escola de Futsal Grèvol Juvenil;ADRIA VENTEO GONZÁLEZ;11/05/2018;20:00;Escola Betània Patmos -  Carrer de Montevideo -  Barcelona -  Espanya;Jornada 17;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;*RETIRAT COPA*Ivars d'Urgell F.S.F.;1 - 1;Oli Les Cabanes Juncosa F.S. Femení;LLUIS GONZALEZ BEAS;12/05/2018;10:00;PAVELLÓ POLIESPORTIU IVARS D'URGELL;Jornada 6;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;Escola de Futsal Grèvol Benjamí;12 - 2;F.S. Telic Group Bigues i Riells Benjamí;LAURA PUCHE BARRANQUERO;12/05/2018;10:00;Pavelló Grèvol -  Carrer Provençals -  9 Barcelona;Jornada 6;COPA BENJAMÍ;;COPA BENJAMÍ;Fútbol sala
;;F.S Union La Salut Badalona A;2 - 4;"Padre Damián Sagrados Corazones ""B""";ADRIA VENTEO GONZÁLEZ -  MATILDE GOMEZ VIÑARAS;12/05/2018;10:00;CEM Besòs Ronda Sant Ramon de Penyafort s/n 08930 SAnt Adrià de Besòs;Jornada 23;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Escola Pia Santa Anna Mataró Infantil ""C""";1 - 14;"F.S. Esclop Infantil ""A""";ANTONIO RUIZ MANCHON;12/05/2018;10:30;Escola Pia Santa Anna Mataró -  Carrer de Sant Agustí -  Mataró -  Espanya;Jornada 5;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;A.E. Moià Aleví;3 - 5;C.F.S. La Garriga Aleví;JORDI GAITX PLA;12/05/2018;10:30;Pavelló Municipal d'Esports -  Moià -  Espanya;Jornada 20;"Aleví ""A""";;10. Aleví;Fútbol sala
;;F.S. Esclop Benjamí;-;C.F.S. La Garriga Benjamí;JORDI JIMENEZ MARTIN;12/05/2018;11:00;Col·legi Públic Gaudí -  Carrer d'Ordesa -  Sabadell -  Espanya;Jornada 2;COPA BENJAMÍ;;COPA BENJAMÍ;Fútbol sala
;;A.E. Sallent Juvenil;0 - 1;Betània Patmos Barcelona Juvenil B;RICARD MARQUEZ SIMONI;12/05/2018;11:00;Pavello Municipal -  Carrer Verge del Pilar -  Sallent de Llobregat -  España;Jornada 20;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;"Escola de Futsal Grèvol Cadet ""A""";4 - 2;Futsal Dante Cadet;LAURA PUCHE BARRANQUERO;12/05/2018;11:10;Pavelló Grèvol -  Carrer Provençals -  9 Barcelona;Jornada 20;"Cadet ""B""";;08. Cadet;Fútbol sala
;;Sagrerenc C.E.Infantil;2 - 8;C.F.S. La Garriga Infantil;ALBERT GONZALEZ GARCIA;12/05/2018;11:30;Poliesportiu Municipal La Sagrera - C/Honduras -  2 Barcelona;Jornada 5;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;"Escola Pia Santa Anna Mataró Infantil ""B""";11 - 1;"F.S. Union Llagostense Mecman Infantil ""B""";ANTONIO RUIZ MANCHON;12/05/2018;12:00;Escola Pia Santa Anna Mataró -  Carrer de Sant Agustí -  Mataró -  Espanya;Jornada 5;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;A.E. Moià Infantil;6 - 0;E.P. Badalona Centre Infantil;JORDI GAITX PLA;12/05/2018;12:00;Pavelló Municipal d'Esports -  Moià -  Espanya;Jornada 5;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;A.E. Sallent Cadet;2 - 1;Olímpic Argentona Cadet;RICARD MARQUEZ SIMONI;12/05/2018;12:15;Pavello Municipal -  Carrer Verge del Pilar -  Sallent de Llobregat -  España;Jornada 20;"Cadet ""A""";;08. Cadet;Fútbol sala
;;Escola de Futsal Grèvol Juvenil;9 - 3;C.E. Maristes De Rubí Juvenil;LAURA PUCHE BARRANQUERO;12/05/2018;12:20;Pavelló Grèvol -  Carrer Provençals -  9 Barcelona;Jornada 20;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;Sagrerenc C.E. Cadet A;3 - 2;"Futbol Sala Corbera Cadet ""A""";ALBERT GONZALEZ GARCIA;12/05/2018;12:45;Poliesportiu Municipal La Sagrera - C/Honduras -  2 Barcelona;Jornada 20;"Cadet ""A""";;08. Cadet;Fútbol sala
;;"Padre Damián Sagrados Corazones ""C""";0 - 5;Atletic Arrahona B;JOSE MANUEL GÜISADO PLIBERSCHNIG;12/05/2018;13:00;Poliesportiu Padre Damián Sagrados Corazones;Jornada 26;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Futbolmania F.S.;0 - 4;Futbol Sala Colomense;JOSE RIZO GOMEZ;12/05/2018;13:15;Poliesportiu Municipal Montigala;Jornada 26;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Neurofutbol F.S.;6 - 5;E.P. Badalona Centre Cadet;OMAR DOUAS BERROHOUY;12/05/2018;14:00;Ciudad Deportiva Fundación Marcet -  Av. Can Marcet -  08035 Barcelona;Jornada 20;"Cadet ""B""";;08. Cadet;Fútbol sala
;;Celler de l' Arnau - Jovents BALAGUER;3 - 1;Alcarràs - Fraga Futsal;HAFID AIKAR EL MIRI;12/05/2018;15:30;BALAGUER POLIESPORTIU CARRER URGELL;Jornada 3;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;Sagrerenc C.E. Juvenil B;2 - 2;F.S. Llinars Juvenil;JOSE MANUEL GÜISADO PLIBERSCHNIG;12/05/2018;15:30;Poliesportiu Municipal La Sagrera - C/Honduras -  2 Barcelona;Jornada 20;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;Escola Pia Santa Anna Mataró B;3 - 4;C.E.F.S. Granollers B;ANTONIO RUIZ MANCHON -  MARC MIRON RUIZ;12/05/2018;15:30;Escola Pia Santa Anna Mataró -  Carrer de Sant Agustí -  Mataró -  Espanya;Jornada 23;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;F.S. Caldes De Malavella;3 - 2;Ca La Guidó Futsal;KEVIN ORTIZ MONGE -  MIGUEL ANGEL MONGE PEREZ;12/05/2018;16:00;Polivalent Caldes de Malavella;Jornada 4;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;Futbol Sala Corbera Juvenil;5 - 3;"F.S. Esclop Juvenil ""B""";DAVID VALIENTE MARTIN;12/05/2018;16:00;Pabellón Municipal de Deportes -  C/Josep Tarradellas -  08757 Corbera de Llobregat;Jornada 20;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;C.f.s. Alcalà Prat - Bar La Terraza Cadet;1 - 2;A.E. Moià Cadet;JOEL JIMENEZ RODRIGUEZ;12/05/2018;16:00;CEM SAGNIER -  EL Prat de Llobregat -  C/Federica Montseny s/n;Jornada 20;"Cadet ""A""";;08. Cadet;Fútbol sala
;;F.S. Esclop Aleví;2 - 2;A.E. Sallent Aleví;LAURA PUCHE BARRANQUERO;12/05/2018;16:00;Col·legi Públic Gaudí -  Carrer d'Ordesa -  Sabadell -  Espanya;Jornada 20;"Aleví ""A""";;10. Aleví;Fútbol sala
;;Penya Recreativa Sant Feliu de Llobregat;2 - 4;Betis Catalunya F.S.;ADRIA VENTEO GONZÁLEZ -  MIQUEL VILASECA BARRUFET;12/05/2018;16:00;Pavelló Andrei Xepkin Carrer Mataró -  4 -  08980 Sant Feliu de Llobregat -  Barcelona;Jornada 23;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.F.S. Lliça De Vall;3 - 5;Albelda Futsal;HERMAN TORTA RECHE -  ISMAEL CHAMERO RIVERO -  MARIANO BURGOS BONAVENTURA;12/05/2018;16:00;Pavelló Municipal De Lliça De Vall;Jornada 23;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;A.C.E. Sansur B;3 - 8;Athletic Torre Roja;JONATHAN GALVIS ARANGO -  RICARD MARQUEZ SIMONI;12/05/2018;16:30;Poliesportiu Espanya Industrial;Jornada 23;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;A.E. Tiana Juvenil;5 - 0;A.E. Moià Juvenil;;12/05/2018;17:00;Poliesportiu Municipal De Tiana;Jornada 20;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;CFS Sagrada Familia;0 - 5;"Futsal Dante ""B""";JORDI GAITX PLA -  OSCAR KEVIN GUTIERREZ GUTIERREZ;12/05/2018;17:00;Passeig Marítim de la Barceloneta -  33 -  08003 Barcelona;Jornada 23;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;Sagrerenc C.E. B;3 - 1;C.E.F.S. Granollers C;JOSE MANUEL GÜISADO PLIBERSCHNIG -  MATILDE GOMEZ VIÑARAS;12/05/2018;17:00;Poliesportiu Municipal La Sagrera - C/Honduras -  2 Barcelona;Jornada 23;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;F.S. Esclop;5 - 5;C.E.S. Sabadell;LAURA PUCHE BARRANQUERO;12/05/2018;17:00;Escola Torreguitart Carrer de Vallirana -  14 -  08207 Sabadell -  Barcelona;Jornada 26;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;E.F.S. Ripoll B Sant Pau de Segúries;4 - 3;Joves de Vidreres C.F.S.;GABINO FERNÁNDEZ SEGURA -  LLUIS SANCHEZ GARCIA;12/05/2018;18:00;Plaça de l'Era -  Sant Pau de Segúries -  España;Jornada 4;"COPA FEDERACIÓ GIRONA GRUP ""A""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;Betània Patmos Barcelona Juvenil Nacional;10 - 3;E.F.S. Alta Segarra Juvenil Nacional;ALBERTO IGLESIAS PALOMARES -  ROGER TORRENT ARNAU;12/05/2018;18:00;PavellÓ Universitat De Barcelona;Jornada 17;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;C.F.S. La Garriga Juvenil A;3 - 5;C.C.A. Plaza Macael Juvenil;DOMENEC FOLGUERA AMPURDANES;12/05/2018;18:00;Poliesportiu Can Noguera;Jornada 20;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;C.e. Gadex B;2 - 3;F.S Union La Salut Badalona B;ADRIA VENTEO GONZÁLEZ;12/05/2018;18:00;Pavelló esports c/ sol i padris -  59 08203 Sabadell;Jornada 23;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;A.E.F.S. Montgat;1 - 0;C.E. Orange Papiol;CARLOS ARANDA PORTILLO -  GABRIEL MORALES CAÑAS -  JOAN RAMON BERNARDO MAÑÉ;12/05/2018;18:00;Pavelló Municipal De Montgat;Jornada 23;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;AE Empenta - El Pilar Juvenil Nacional;3 - 5;Banús Futsal Juvenil Nacional;ANTONIO RUIZ MANCHON -  MARC MIRON RUIZ;12/05/2018;18:30;Pista Poliesportiva Voramar;Jornada 17;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;A.E. Tiana Cadet;3 - 5;Grup de Joves Can Tusell Cadet;FRANCISCO JAVIER LORENTE PLANA;12/05/2018;18:30;Poliesportiu Municipal De Tiana;Jornada 20;"Cadet ""A""";;08. Cadet;Fútbol sala
;;E.F.S. Alta Segarra;1 - 6;Padre Damian Sagrados Corazones;DAVID MACARULLA CASTAÑEDA -  ELI GASCÓN PEREIRO -  GERMAN MARTIN FERNANDEZ;12/05/2018;18:30;Pavelló Municipal De Calaf;Jornada 23;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;F.S. Tèlic Group Bigues i Riells;5 - 3;F.s. Unión Llagostense MecMan B;HERMAN TORTA RECHE -  ISMAEL CHAMERO RIVERO -  MARIANO BURGOS BONAVENTURA;12/05/2018;18:30;Pavellon Can Badell -  Avinguda Prat de la Riba -  Bigues i Riells -  Espanya;Jornada 23;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;C.E. Maristes De Rubí Cadet;1 - 3;Betània Patmos Barcelona Cadet;JOEL JIMENEZ RODRIGUEZ;12/05/2018;19:00;Pavello Maristes de Rubi -  magallanes 65 Rubi;Jornada 20;"Cadet ""B""";;08. Cadet;Fútbol sala
;;F.s. Borges;2 - 3;A.C.E. Sansur;ELI GASCÓN PEREIRO -  LLUIS GONZALEZ BEAS -  OSCAR CRUZ OSUNA;12/05/2018;19:00;PAVELLO MUNICIPAL DE LES BORGES BLANQUES;Jornada 23;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Jesuïtes Clot Juvenil Nacional;-;A.C. Coloso Juvenil Nacional;MARI CARMEN DELGADO MORALES -  NICOLAS ANDRES VALBUENA TORRES;12/05/2018;19:15;Pista Poliesportiva Clot De La Mel;Jornada 17;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;Futsal Bellmunt;4 - 3;"Club Futsal Alcarràs ""B""";HAFID AIKAR EL MIRI;12/05/2018;19:30;Pavelló Poliesportiu Bellmunt;Jornada 4;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;C.e. Gadex;4 - 5;"Athletic Arrahona - Can Jonqueres ""A""";ADRIA VENTEO GONZÁLEZ -  MIQUEL VILASECA BARRUFET;12/05/2018;19:30;Pavellò Municipal d'esports Carrer sol i padris a Sabadell;Jornada 22;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Betània Patmos Barcelona;4 - 0;C.E.F.S. Granollers;ALBERTO IGLESIAS PALOMARES -  JOSEP GONZALEZ GARCIA -  ROGER TORRENT ARNAU;12/05/2018;19:30;Pavelló Universitat de Barcelona -  Avinguda Diagonal 695-701 Barcelona;Jornada 23;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;C.F.S. La Garriga;-;Betània Patmos Barcelona B;DOMENEC FOLGUERA AMPURDANES -  ELVIA ELOISA CARDENAS RAMOS;12/05/2018;19:30;Poliesportiu Can Noguera;Jornada 23;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;F.S. Racing Llavaneres;2 - 9;C.F.S. Inter Raudovan Hospitalet;DAVID VALIENTE MARTIN -  SANDRA GARRIS CUBA;12/05/2018;20:00;Poliesportiu De Sant Andreu De Llavaneres;Jornada 23;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Olímpic Argentona;8 - 1;Can Palet FS;ISMAEL BENKHAJOU BAKKALI -  OMAR DOUAS BERROHOUY;12/05/2018;20:00;Pavelló Municipal d' Argentona;Jornada 23;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.f.s. Alcalà Prat - Bar La Terraza;3 - 1;Teià Futbol Cinc;JORDI GAITX PLA -  OSCAR KEVIN GUTIERREZ GUTIERREZ -  RICARD MARQUEZ SIMONI;12/05/2018;20:00;CEM SAGNIER -  EL Prat de Llobregat -  C/Federica Montseny s/n;Jornada 24;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;F.S. Viladecavalls;5 - 2;A.E. Tiana B;RAUL GONZALEZ MONJO;12/05/2018;20:00;poliesportiu municipal de viladecavalls;Jornada 26;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;"Olimpic Argentona Aleví ""B""";5 - 5;"Olimpic Argentona Aleví ""A""";DAVID VALIENTE MARTIN;13/05/2018;09:00;Pavelló Municipal d' Argentona;Jornada 20;"Aleví ""A""";;10. Aleví;Fútbol sala
